iso_693_3,language_name,asr,tts,lid
crs,Seychelles French Creole,✔️,✔️,✔️
crt,"Chorote, Iyojwa’ja",✔️,✔️,✔️
crv,Chaura,,,✔️
crw,Chrau,,,✔️
crx,Carrier,,,✔️
cry,Kyoli,,,✔️
csa,"Chinantec, Chiltepec",,,✔️
csh,"Chin, Asho",,,✔️
csk,Jola-Kasa,✔️,✔️,✔️
cso,"Chinantec, Sochiapam",✔️,✔️,✔️
csy,"Chin, Siyin",,,✔️
cta,"Chatino, Tataltepec",,,✔️
ctd,"Chin, Tedim",✔️,✔️,✔️
cte,"Chinantec, Tepinapa",,,✔️
ctg,Chittagonian,✔️,✔️,✔️
ctl,"Chinantec, Tlacoatzintepec",,,✔️
cto,Embera Catío,✔️,✔️,✔️
ctp,"Chatino, Western Highland",,,✔️
ctt,"Chetti, Wayanad",,,✔️
ctu,Chol,✔️,✔️,✔️
ctz,"Chatino, Zacatepec",,,✔️
cua,Cua,,,✔️
cub,Cubeo,,,✔️
cuc,"Chinantec, Usila",✔️,✔️,✔️
cui,Cuiba,✔️,✔️,✔️
cuk,"Kuna, San Blas",✔️,✔️,✔️
cul,Kulina,✔️,✔️,✔️
cut,"Cuicatec, Teutila",,,✔️
cuv,Cuvok,,,✔️
cux,"Cuicatec, Tepeuxila",,,✔️
cvg,Chug,,,✔️
cvn,"Chinantec, Valle Nacional",,,✔️
cwa,Kabwa,✔️,✔️,✔️
cwe,Kwere,✔️,✔️,✔️
cwt,Kuwaataay,✔️,✔️,✔️
cya,"Chatino, Nopala",✔️,✔️,✔️
cyb,Cayubaba,,,✔️
cym,Welsh,✔️,✔️,✔️
cyo,Cuyonon,,,✔️
czh,"Chinese, Huizhou",,,✔️
czt,"Chin, Zotung",,,✔️
daa,Dangaléat,✔️,✔️,✔️
dad,Marik,,,✔️
dag,Dagbani,,,✔️
dah,Gwahatike,✔️,✔️,✔️
dai,Day,,,✔️
dak,Dakota,,,✔️
dan,Danish,✔️,,✔️
dao,"Chin, Daai",,,✔️
daq,"Maria, Dandami",,,✔️
dar,Dargwa,✔️,✔️,✔️
das,Daho-Doo,,,✔️
dav,Dawida,,,✔️
daw,Davawenyo,,,✔️
dbb,Deno,,,✔️
dbd,Dadiya,,,✔️
dbi,Doka,,,✔️
dbj,Ida’an,✔️,✔️,✔️
dbm,Duguri,,,✔️
dbn,Duriankere,,,✔️
dbq,Daba,✔️,✔️,✔️
dbv,Dungu,,,✔️
dby,Dibiyaso,,,✔️
dcc,Deccan,,,✔️
dde,Doondo,,,✔️
ddg,Fataluku,,,✔️
ddn,Dendi,✔️,✔️,✔️
ded,Dedua,✔️,✔️,✔️
dee,Dewoin,,,✔️
def,Dezfuli,,,✔️
deg,Degema,,,✔️
dei,Demisa,,,✔️
dem,Dem,,,✔️
der,Deori,,,✔️
des,Desano,✔️,✔️,✔️
deu,"German, Standard",✔️,✔️,✔️
dez,Dengese,,,✔️
dga,"Dagaare, Southern",✔️,✔️,✔️
dgc,"Agta, Casiguran Dumagat",,,✔️
dgd,Dagaari Dioula,,,✔️
dge,Degenang,,,✔️
dgg,Doga,,,✔️
dgh,Dghwede,,,✔️
dgi,"Dagara, Northern",✔️,✔️,✔️
dgk,Dagba,✔️,✔️,✔️
dgo,Dogri,✔️,✔️,✔️
dgr,Tlicho,✔️,✔️,✔️
dgx,Doghoro,,,✔️
dgz,Daga,,,✔️
dhd,Dhundari,,,✔️
dhg,Dhangu-Djangu,,,✔️
dhi,Dhimal,✔️,✔️,✔️
dhm,Dhimba,,,✔️
dhn,Dangi,,,✔️
dhv,Drehu,,,✔️
dhw,Danuwar,,,✔️
dia,Dia,,,✔️
dib,"Dinka, South Central",,,✔️
did,Didinga,✔️,✔️,✔️
dig,Chidigo,✔️,✔️,✔️
dih,Kumiai,,,✔️
dij,Dai,,,✔️
dik,"Dinka, Southwestern",✔️,✔️,✔️
dil,Dilling,,,✔️
dim,Dime,,,✔️
dio,Dibo,,,✔️
dip,"Dinka, Northeastern",✔️,✔️,✔️
dir,Dirim,,,✔️
dis,Dimasa,,,✔️
diu,Gciriku,,,✔️
div,Maldivian,✔️,✔️,✔️
diw,"Dinka, Northwestern",,,✔️
diz,Ding,,,✔️
djc,"Daju, Dar Daju",,,✔️
dje,Zarma,,,✔️
djk,Aukan,✔️,✔️,✔️
djm,"Dogon, Jamsay",,,✔️
djn,Djauan,,,✔️
djo,Jangkang,,,✔️
djr,Djambarrpuyngu,,,✔️
dka,Dakpakha,,,✔️
dks,"Dinka, Southeastern",,,✔️
dkx,Mazagway-Hidi,,,✔️
dln,Darlong,,,✔️
dma,Duma,,,✔️
dme,Dugwor,,,✔️
dmg,"Kinabatangan, Upper",,,✔️
dmo,Kemedzung,,,✔️
dmr,"Damar, East",,,✔️
dms,Dampelas,,,✔️
dna,"Dani, Upper Grand Valley",,,✔️
dnd,Daonda,,,✔️
dni,"Dani, Lower Grand Valley",,,✔️
dnj,Dan,"✔️ (dialect: blowowest, dialect: gweetaawueast)","✔️ (dialect: blowowest, dialect: gweetaawueast)",✔️
dnn,Dzùùngoo,,,✔️
dnt,"Dani, Mid Grand Valley",✔️,✔️,✔️
dnw,"Dani, Western",✔️,✔️,✔️
dob,Dobu,,,✔️
dof,Domu,,,✔️
doo,Dongo,,,✔️
dop,Lukpa,✔️,✔️,✔️
dor,Dori’o,,,✔️
dos,Dogosé,✔️,✔️,✔️
dot,Dass,,,✔️
dow,Doyayo,,,✔️
dox,Mositacha,,,✔️
doy,Dompo,,,✔️
doz,Dorze,,,✔️
drd,Darmiya,,,✔️
dre,Dolpo,,,✔️
drg,Rungus,,,✔️
dri,C’Lela,,,✔️
drs,Gedeo,,,✔️
dru,Rukai,,,✔️
dry,Darai,,,✔️
dsh,Daasanach,✔️,✔️,✔️
dsn,Dusner,,,✔️
dso,Desiya,✔️,✔️,✔️
dsq,Tadaksahak,,,✔️
dta,Daur,,,✔️
dtb,"Kadazan, Labuk-Kinabatangan",,,✔️
dtm,"Dogon, Tomo Kan",,,✔️
dtp,Kadazan Dusun,✔️,✔️,✔️
dts,"Dogon, Toro So",✔️,✔️,✔️
dua,Duala,,,✔️
dub,Dubli,,,✔️
duc,Duna,,,✔️
due,"Agta, Umiray Dumaget",,,✔️
dug,Chiduruma,✔️,✔️,✔️
duh,Dungra Bhil,,,✔️
dun,Dusun Deyah,,,✔️
duq,Dusun Malang,,,✔️
dur,Dii,,,✔️
dus,Dumi,,,✔️
duu,Drung,,,✔️
duv,Duvle,,,✔️
duw,Dusun Witu,,,✔️
dva,Duau,,,✔️
dwa,Diri,,,✔️
dwr,Dawro,✔️,✔️,✔️
dww,Dawawa,,,✔️
dwy,Dhuwaya,,,✔️
dwz,Dewas Rai,,,✔️
dya,Dyan,,,✔️
dyg,"Agta, Villa Viciosa",,,✔️
dyi,"Sénoufo, Djimini",✔️,✔️,✔️
dyo,Jola-Fonyi,✔️,✔️,✔️
dyu,Jula,✔️,✔️,✔️
dza,Tunzuii,,,✔️
dzg,Dazaga,,,✔️
dzl,Dzalakha,,,✔️
dzo,Dzongkha,✔️,✔️,✔️
ebo,Teke-Eboo,,,✔️
ebr,Tchaman,,,✔️
ebu,Kiembu,,,✔️
efi,Efik,,,✔️
ega,Ega,,,✔️
ego,Eggon,,,✔️
eip,Lik,✔️,✔️,✔️
eit,Eitiep,,,✔️
eja,Jola-Felupe,,,✔️
eka,Ekajuk,✔️,✔️,✔️
ekg,Ekari,,,✔️
ekl,Kol,,,✔️
ekp,Ekpeye,,,✔️
ekr,Yace,,,✔️
eky,"Kayah, Eastern",,,✔️
elk,Elkei,,,✔️
ell,Greek,✔️,✔️,✔️
elm,Eleme,,,✔️
ema,Emai-Iuleha-Ora,,,✔️
emb,Embaloh,,,✔️
eme,Tekó,,,✔️
emg,"Mewahang, Eastern",,,✔️
emk,"Maninkakan, Eastern",,,✔️
emn,Eman,,,✔️
emp,"Emberá, Northern",✔️,✔️,✔️
ems,"Yupik, Pacific Gulf",,,✔️
ena,Apal,,,✔️
enb,Markweeta,✔️,✔️,✔️
end,Ende,,,✔️
eng,English,✔️,✔️,✔️
enl,Enlhet,,,✔️
enn,Engenni,,,✔️
enq,Enga,,,✔️
env,Enwan,,,✔️
enx,Enxet,✔️,✔️,✔️
eot,Beti,,,✔️
epi,Epie,,,✔️
epo,Esperanto,✔️,,✔️
erg,Sie,,,✔️
erh,Eruwa,,,✔️
erk,"Efate, South",,,✔️
ert,Eritai,,,✔️
ese,Ese Ejja,✔️,✔️,✔️
esg,"Gondi, Aheri",,,✔️
esh,Eshtehardi,,,✔️
esi,"Inupiatun, North Alaskan",,,✔️
esk,"Inupiatun, Northwest Alaska",,,✔️
ess,"Yupik, Saint Lawrence Island",✔️,✔️,✔️
est,Estonian,✔️,,✔️
esu,"Yupik, Central",,,✔️
etn,Eton,,,✔️
eto,Eton,,,✔️
etr,Edolo,,,✔️
ets,Etsako,,,✔️
etu,Ejagham,,,✔️
etx,Iten,,,✔️
eus,Basque,✔️,✔️,✔️
eve,Even,,,✔️
evn,Evenki,✔️,✔️,✔️
ewe,Éwé,✔️,✔️,✔️
ewo,Ewondo,,,✔️
eyo,Keiyo,,,✔️
eza,Ezaa,✔️,✔️,✔️
eze,Uzekwe,,,✔️
faa,Fasu,,,✔️
fai,Faiwol,,,✔️
fak,Fang,,,✔️
fal,"Fali, South",✔️,✔️,✔️
fan,Fang,,,✔️
fao,Faroese,✔️,✔️,✔️
fap,Paloor,,,✔️
far,Fataleka,✔️,✔️,✔️
fas,Persian,✔️,✔️,✔️
fay,"Fars, Southwestern",,,✔️
fie,Fyer,,,✔️
fij,Fijian,✔️,✔️,✔️
fin,Finnish,✔️,✔️,✔️
fir,Firan,,,✔️
fla,Kalispel-Pend d’Oreille,,,✔️
fli,Fali Muchella,,,✔️
fll,"Fali, North",,,✔️
flr,Fuliiru,✔️,✔️,✔️
fmu,"Muria, Far Western",✔️,✔️,✔️
fod,Foodo,,,✔️
foi,Foi,,,✔️
fon,Fon,✔️,✔️,✔️
for,Fore,,,✔️
fqs,Momu,,,✔️
fra,French,✔️,✔️,✔️
frc,"French, Cajun",,,✔️
frd,Fordata,✔️,✔️,✔️
fry,Frisian,✔️,,✔️
ful,Fulah,✔️,✔️,✔️
fun,Iatê,,,✔️
fut,Futuna-Aniwa,,,✔️
fvr,Fur,,,✔️
fwe,Fwe,,,✔️
gaa,Ga,,,✔️
gab,Gabri,,,✔️
gad,Gaddang,,,✔️
gae,Guarequena,,,✔️
gaf,Gende,,,✔️
gag,Gagauz,"✔️ (script: cyrillic, script: latin)","✔️ (script: cyrillic, script: latin)",✔️
gah,Alekano,,,✔️
gai,Mbore,✔️,✔️,✔️
gaj,Gadsup,,,✔️
gam,Kandawo,✔️,✔️,✔️
gaq,Gata’,,,✔️
gar,Galeya,,,✔️
gas,"Garasia, Adiwasi",,,✔️
gau,"Gadaba, Mudhili",✔️,✔️,✔️
gaw,Nobonob,,,✔️
gbe,Niksek,,,✔️
gbg,Gbanziri,,,✔️
gbh,"Gbe, Defi",,,✔️
gbi,Galela,✔️,✔️,✔️
gbk,Gaddi,✔️,✔️,✔️
gbm,Garhwali,✔️,✔️,✔️
gbn,Mo’da,,,✔️
gbo,"Grebo, Northern",✔️,✔️,✔️
gbr,Gbagyi,,,✔️
gbv,Gbanu,,,✔️
gby,Gbari,,,✔️
gbz,"Dari, Zoroastrian",,,✔️
gcf,Guadeloupean French Creole,,,✔️
gcn,Gaina,,,✔️
gcr,Guianese French Creole,,,✔️
gdb,"Gadaba, Pottangi Ollar",,,✔️
gde,Gude,✔️,✔️,✔️
gdf,Guduf-Gava,,,✔️
gdl,Dirasha,,,✔️
gdn,Umanakaina,,,✔️
gdr,Wipi,,,✔️
gdu,Gudu,,,✔️
gdx,Godwari,,,✔️
gea,Geruma,,,✔️
geb,Kire,✔️,✔️,✔️
gec,"Grebo, Gboloo",,,✔️
ged,Gade,,,✔️
geg,Gengle,,,✔️
gej,Gen,✔️,✔️,✔️
gek,Ywom,,,✔️
gel,ut-Ma’in,,,✔️
gew,Gera,,,✔️
gfk,Patpatar,,,✔️
gga,Gao,,,✔️
ggb,Gbii,,,✔️
ggg,Gurgula,,,✔️
ggu,Gban,,,✔️
ggw,Gogodala,,,✔️
ghe,"Ghale, Southern",,,✔️
ghk,"Karen, Geko",,,✔️
ghl,Ghulfan,,,✔️
ghr,Ghera,,,✔️
ghs,Guhu-Samane,,,✔️
gia,Kija,,,✔️
gid,Gidar,,,✔️
gig,Goaria,,,✔️
gil,Kiribati,✔️,✔️,✔️
gim,Gimi,,,✔️
gis,"Giziga, North",,,✔️
git,Gitxsan,,,✔️
giw,Duoluo,,,✔️
giz,Giziga,,,✔️
gjk,"Koli, Kachi",,,✔️
gjn,Gonja,✔️,✔️,✔️
gju,Gujari,,,✔️
gkn,Gokana,✔️,✔️,✔️
gkp,"Kpelle, Guinea",,,✔️
gla,Scottish Gaelic,,,✔️
gld,Nanai,✔️,✔️,✔️
gle,Irish,✔️,,✔️
glg,Galician,✔️,,✔️
glk,Gilaki,✔️,✔️,✔️
glo,Galambu,,,✔️
glr,Glaro-Twabo,,,✔️
glv,Manx,,,✔️
glw,Glavda,,,✔️
gmb,Gula’alaa,,,✔️
gmm,Gbaya-Mbodomo,,,✔️
gmv,Gamo,✔️,✔️,✔️
gmz,Mgbolizhia,,,✔️
gna,Kaansa,✔️,✔️,✔️
gnb,Gangte,,,✔️
gnd,Zulgo-Gemzek,✔️,✔️,✔️
gng,Ngangam,✔️,✔️,✔️
gni,Gooniyandi,,,✔️
gnk,ǁGana,,,✔️
gnm,Ginuman,,,✔️
gnn,Gumatj,,,✔️
gno,"Gondi, Northern",,,✔️
gnu,Gnau,,,✔️
goa,Guro,,,✔️
gof,Gofa,✔️ (script: latin),✔️ (script: latin),✔️
gog,Gogo,✔️,✔️,✔️
goj,Gowlan,,,✔️
gol,Gola,,,✔️
gom,"Konkani, Goan",,,✔️
gop,Yeretuar,,,✔️
gor,Gorontalo,✔️,✔️,✔️
gou,Gavar,,,✔️
gow,Gorowa,,,✔️
gox,Gobu,,,✔️
goz,Gozarkhani,,,✔️
gpa,Gupa-Abawa,,,✔️
gqa,Ga’anda,,,✔️
gqr,Gor,✔️,✔️,✔️
gra,"Garasia, Rajput",,,✔️
grc,"Greek, Ancient",✔️,✔️,✔️
grd,Guruntum-Mbaaru,,,✔️
grh,Tugbiri-Niragu,,,✔️
gri,Ghari,✔️,✔️,✔️
grj,"Grebo, Southern",,,✔️
grn,Guarani,✔️,✔️,✔️
gro,Groma,,,✔️
grs,Gresi,,,✔️
grt,Garo,✔️,✔️,✔️
gru,Kistane,,,✔️
grv,"Grebo, Central",,,✔️
grx,Muno,,,✔️
gry,"Grebo, Barclayville",,,✔️
gso,"Gbaya, Southwest",✔️,✔️,✔️
gsw,"German, Swiss",,,✔️
gua,Shiki,,,✔️
gub,Guajajára,✔️,✔️,✔️
guc,Wayuu,✔️,✔️,✔️
gud,"Dida, Yocoboué",✔️,✔️,✔️
gue,Gurindji,,,✔️
guh,Guahibo,✔️,✔️,✔️
guj,Gujarati,✔️,✔️,✔️
guk,Gumuz,✔️,✔️,✔️
gul,Sea Island English Creole,,,✔️
gum,Misak,✔️,✔️,✔️
guo,Guayabero,✔️,✔️,✔️
gup,Gunwinggu,,,✔️
guq,Aché,✔️,✔️,✔️
gur,Farefare,,,✔️
gut,Maléku Jaíka,,,✔️
guu,Yanomamö,✔️,✔️,✔️
guw,Gun,,,✔️
gux,Gourmanchéma,✔️,✔️,✔️
guz,Ekegusii,,,✔️
gvc,Wanano,✔️,✔️,✔️
gvf,Golin,,,✔️
gvj,Guajá,,,✔️
gvl,Gulay,✔️,✔️,✔️
gvn,Kuku-Yalanji,,,✔️
gvo,Gavião do Jiparaná,,,✔️
gvp,"Gavião, Pará",,,✔️
gvr,Gurung,,,✔️
gvs,Gumawana,,,✔️
gwa,Mbato,,,✔️
gwd,Ale,,,✔️
gwi,Gwich’in,✔️,✔️,✔️
gwj,ǀGwi,,,✔️
gwn,Gwandara,,,✔️
gwr,Gwere,✔️,✔️,✔️
gww,Kwini,,,✔️
gxx,Wè Southern,,,✔️
gya,"Gbaya, Northwest",,,✔️
gyd,Kayardild,,,✔️
gye,Gyem,,,✔️
gym,Ngäbere,✔️,✔️,✔️
gyr,Guarayu,✔️,✔️,✔️
gyz,Gyaazi,,,✔️
haa,Han,,,✔️
hac,Gurani,,,✔️
had,Hatam,✔️,✔️,✔️
hag,Hanga,✔️,✔️,✔️
hah,Hahon,,,✔️
haj,Hajong,,,✔️
hak,"Chinese, Hakka",✔️,✔️,✔️
hal,Halang,,,✔️
hap,Hupla,✔️,✔️,✔️
haq,Ha,,,✔️
har,Harari,,,✔️
has,Haisla,,,✔️
hat,Haitian Creole,✔️,✔️,✔️
hau,Hausa,✔️,✔️,✔️
hav,Havu,,,✔️
haw,Hawaiian,,,✔️
hay,Haya,✔️,✔️,✔️
haz,Hazaragi,,,✔️
hbb,Nya Huba,,,✔️
hbn,Heiban,,,✔️
hca,Andaman Hindi Creole,,,✔️
hch,Huichol,,,✔️
hdn,"Haida, Northern",,,✔️
hdy,Hadiyya,,,✔️
hea,"Miao, Northern Qiandong",,,✔️
heb,Hebrew,✔️,✔️,✔️
heg,Helong,,,✔️
heh,Hehe,✔️,✔️,✔️
hei,Heiltsuk,,,✔️
her,Herero,,,✔️
hgm,Hai,Khoe,,
hgw,Haigwai,,,✔️
hia,Lamang,,,✔️
hid,Hidatsa,,,✔️
hif,"Hindi, Fiji",✔️,✔️,✔️
hig,Kamwe,✔️,✔️,✔️
hii,Hinduri,,,✔️
hil,Hiligaynon,✔️,✔️,✔️
hin,Hindi,✔️,✔️,✔️
hio,Tshuwau,,,✔️
hix,Hixkaryána,,,✔️
hkk,Hunjara-Kaina Ke,,,✔️
hla,Halia,,,✔️
hlb,Halbi,✔️,✔️,✔️
hld,Halang Doan,,,✔️
hlt,"Chin, Matu",✔️,✔️,✔️
hmb,"Songhay, Humburi Senni",,,✔️
hmd,"Miao, Large Flowery",,,✔️
hmg,"Miao, Southwestern Guiyang",,,✔️
hmj,Ge,,,✔️
hml,"Miao, Luopohe",,,✔️
hmo,"Motu, Hiri",,,✔️
hmr,Hmar,,,✔️
hms,"Miao, Southern Qiandong",,,✔️
hmt,Hamtai,,,✔️
hmw,"Miao, Western Mashan",,,✔️
hmz,Sinicized Miao,,,✔️
hna,Mina,,,✔️
hnd,"Hindko, Southern",,,✔️
hne,Chhattisgarhi,✔️,✔️,✔️
hni,Hani,,,✔️
hnj,Hmong Njua,,,✔️
hnn,Hanunoo,✔️,✔️,✔️
hno,"Hindko, Northern",,,✔️
hns,"Hindustani, Sarnami",✔️,✔️,✔️
hoa,Hoava,,,✔️
hoc,Ho,✔️,✔️,✔️
hoe,Horom,,,✔️
hoj,Haroti,,,✔️
hol,Holu,,,✔️
hoo,Holoholo,,,✔️
hop,Hopi,,,✔️
hot,Malei,,,✔️
how,Honi,,,✔️
hoy,Holiya,✔️,✔️,✔️
hra,Hrangkhol,,,✔️
hre,Hre,,,✔️
hrm,"Miao, Horned",,,✔️
hru,Hruso,,,✔️
hrv,Croatian,✔️,,✔️
hsb,"Sorbian, Upper",✔️,,
hsn,"Chinese, Xiang",,,✔️
hto,"Witoto, Minika",✔️,✔️,✔️
hts,Hadza,,,✔️
hub,Wampís,✔️,✔️,✔️
huc,ǂ’Amkhoe,,,✔️
hue,"Huave, San Francisco del Mar",,,✔️
huf,Humene,,,✔️
huh,Huilliche,,,✔️
hui,Huli,✔️,✔️,✔️
hul,Vula’a,,,✔️
hum,Hungana,,,✔️
hun,Hungarian,✔️,✔️,✔️
hur,Halkomelem,,,✔️
hus,Huastec,"✔️ (dialect: centralveracruz, dialect: westernpotosino)","✔️ (dialect: centralveracruz, dialect: westernpotosino)",✔️
hut,Humla,,,✔️
huu,"Witoto, Murui",✔️,✔️,✔️
huv,"Huave, San Mateo del Mar",✔️,✔️,✔️
hux,"Witoto, Nipode",,,✔️
huz,Hunzib,,,✔️
hve,"Huave, San Dionisio del Mar",,,✔️
hvn,Hawu,✔️,✔️,✔️
hvv,"Huave, Santa María del Mar",,,✔️
hwc,Hawaii Pidgin,✔️,✔️,✔️
hwo,Hwana,,,✔️
hye,Armenian,✔️,,✔️
hyw,"Armenian, Western",✔️,✔️,✔️
iai,Iaai,,,✔️
ian,Iatmul,,,✔️
iar,Purari,,,✔️
iba,Iban,✔️,✔️,✔️
ibb,Ibibio,,,✔️
ibd,Iwaidja,,,✔️
ibg,Ibanag,,,✔️
ibl,Ibaloi,,,✔️
ibo,Igbo,✔️,,✔️
iby,Ibani,,,✔️
ica,Ede Ica,,,✔️
ich,Etkywan,,,✔️
icr,Islander English Creole,✔️,✔️,✔️
ida,Luidakho-Luisukha-Lutirichi,,,✔️
idd,Ede Idaca,✔️,✔️,✔️
idi,Idi,,,✔️
idu,Idoma,,,✔️
ifa,"Ifugao, Amganad",✔️,✔️,✔️
ifb,"Ifugao, Batad",✔️,✔️,✔️
ife,Ifè,✔️,✔️,✔️
ifk,"Ifugao, Tuwali",✔️,✔️,✔️
ifm,Teke-Wuumu,,,✔️
ifu,"Ifugao, Mayoyao",✔️,✔️,✔️
ify,"Kallahan, Keley-i",✔️,✔️,✔️
igb,Ebira,,,✔️
ige,Igede,,,✔️
igl,Igala,,,✔️
ign,Ignaciano,✔️,✔️,✔️
ihp,Iha,,,✔️
iii,Nuosu,,,✔️
ijc,Izon,,,✔️
ijj,Ede Ije,,,✔️
ijn,Kalabari,,,✔️
ijs,"Ijo, Southeast",,,✔️
ike,"Inuktitut, Eastern Canadian",,,✔️
iki,Iko,,,✔️
ikk,Ika,✔️,✔️,✔️
iko,Olulumo-Ikom,,,✔️
ikt,Inuinnaqtun,,,✔️
ikw,Ikwere,,,✔️
ikx,Ik,,,✔️
ilb,Ila,✔️,✔️,✔️
ilk,Bogkalot,,,✔️
ilo,Ilocano,✔️,✔️,✔️
ilp,Iranun,,,✔️
ilu,Ili’uun,,,✔️
imo,Imbongu,✔️,✔️,✔️
ina,Interlingua (International Auxiliary Language Association),✔️,,✔️
inb,Inga,✔️,✔️,✔️
ind,Indonesian,✔️,✔️,✔️
inj,"Inga, Jungle",,,✔️
ino,Inoke-Yate,,,✔️
int,Intha,,,✔️
ior,Inor,,,✔️
iou,Tuma-Irumu,✔️,✔️,✔️
iow,Iowa-Oto,,,✔️
ipi,Ipili,✔️,✔️,✔️
ipo,Ipiko,,,✔️
iqu,Iquitu,,,✔️
iqw,Ikwo,✔️,✔️,✔️
iri,Rigwe,✔️,✔️,✔️
irk,Iraqw,✔️,✔️,✔️
irn,Irántxe,,,✔️
irr,Ir,,,✔️
iru,Irula,,,✔️
irx,Kamberau,,,✔️
iry,Iraya,,,✔️
isd,Isnag,,,✔️
ish,Esan,,,✔️
isi,Nkem-Nkum,,,✔️
isl,Icelandic,✔️,✔️,✔️
isn,Isanzu,,,✔️
iso,Isoko,,,✔️
isu,Isu,,,✔️
ita,Italian,✔️,,✔️
itd,"Tidung, Southern",,,✔️
ite,Itene,,,✔️
iti,"Itneg, Inlaud",,,✔️
itl,Itelmen,✔️,✔️,✔️
ito,Itonama,,,✔️
itr,Yawuno Teneyo,,,✔️
its,Isekiri,,,✔️
itt,"Itneg, Maeng",,,✔️
itv,Itawit,✔️,✔️,✔️
ity,"Itneg, Moyadan",,,✔️
itz,Itza’,,,✔️
ium,Iu Mien,,,✔️
ivb,Ibatan,,,✔️
ivv,Ivatan,,,✔️
iwm,Iwam,,,✔️
iws,"Iwam, Sepik",,,✔️
ixl,Ixil,"✔️ (dialect: sangasparchajul, dialect: sanjuancotzal, dialect: santamarianebaj)","✔️ (dialect: sangasparchajul, dialect: sanjuancotzal, dialect: santamarianebaj)",✔️
iyo,Mesaka,,,✔️
iyx,Yaka,,,✔️
izr,Izere,✔️,✔️,✔️
izz,Izii,✔️,✔️,✔️
jaa,Jamamadí,,,✔️
jab,Hyam,,,✔️
jac,Jakalteko,✔️,✔️,✔️
jad,Jahanka,,,✔️
jae,Yabem,,,✔️
jaf,Jara,,,✔️
jam,Jamaican English Creole,✔️,✔️,✔️
jao,Yanyuwa,,,✔️
jaq,Yaqay,,,✔️
jav,Javanese,✔️,✔️,✔️
jax,"Malay, Jambi",,,✔️
jbj,Arandai,,,✔️
jbm,Bijim,,,✔️
jbu,Jukun Takum,✔️,✔️,✔️
jda,Jad,,,✔️
jdg,Jadgali,,,✔️
jeb,Jebero,,,✔️
jeh,Jeh,,,✔️
jei,Yei,,,✔️
jen,Dza,✔️,✔️,✔️
jer,Jere,,,✔️
jge,Judeo-Georgian,,,✔️
jgk,Gwak,,,✔️
jib,Jibu,,,✔️
jic,Tol,✔️,✔️,✔️
jid,Bu,,,✔️
jig,Jingulu,,,✔️
jio,Jiamao,,,✔️
jit,Jita,,,✔️
jiu,"Jinuo, Youle",,,✔️
jiv,Shuar,✔️,✔️,✔️
jiy,"Jinuo, Buyuan",,,✔️
jkp,"Karen, Paku",,,✔️
jkr,Koro,,,✔️
jku,Labir,,,✔️
jle,Ngile,,,✔️
jma,Dima,,,✔️
jmb,Zumbun,,,✔️
jmc,Machame,✔️,✔️,✔️
jmd,Yamdena,✔️,✔️,✔️
jml,Jumli,,,✔️
jmn,"Naga, Makuri",,,✔️
jmr,Kamara,,,✔️
jms,Mashi,,,✔️
jmx,"Mixtec, Western Juxtlahuaca",,,✔️
jna,Jangshung,,,✔️
jnd,Jandavra,,,✔️
jni,Janji,,,✔️
jnj,Yemsa,,,✔️
jnl,Rawat,,,✔️
jns,Jaunsari,,,✔️
job,Joba,,,✔️
jog,Jogi,,,✔️
jow,Jowulu,,,✔️
jpn,Japanese,✔️,,✔️
jqr,Jaqaru,,,✔️
jra,Jarai,,,✔️
jrt,Jakattoe,,,✔️
jru,Japreria,,,✔️
jub,Wannu,,,✔️
juk,Wapan,,,✔️
jul,Jirel,,,✔️
jum,Jumjum,,,✔️
jun,Juang,✔️,✔️,✔️
juo,Jiba,,,✔️
jup,Hupdë,,,✔️
juy,Juray,✔️,✔️,✔️
jvn,"Javanese, Suriname",✔️,✔️,✔️
jwi,Jwira-Pepesa,,,✔️
jya,Jiarong,,,✔️
kaa,Karakalpak,✔️,✔️,✔️
kab,Amazigh,✔️,✔️,✔️
kac,Jingpho,✔️,✔️,✔️
kad,Adara,,,✔️
kai,Karekare,,,✔️
kaj,Jju,,,✔️
kak,Kalanguya,✔️,✔️,✔️
kal,Greenlandic,,,✔️
kam,Kamba,✔️,,✔️
kan,Kannada,✔️,✔️,✔️
kao,Xaasongaxango,✔️,✔️,✔️
kap,Bezhta,,,✔️
kaq,Capanahua,✔️,✔️,✔️
kas,Kashmiri,,,✔️
kat,Georgian,✔️,,✔️
kay,Kamayurá,✔️,✔️,✔️
kaz,Kazakh,✔️,✔️,✔️
kbb,Kaxuiâna,,,✔️
kbc,Kadiwéu,,,✔️
kbd,Kabardian,,,✔️
kbh,Camsá,,,✔️
kbj,Kari,,,✔️
kbl,Kanembu,,,✔️
kbm,Iwal,,,✔️
kbo,Keliko,✔️,✔️,✔️
kbp,Kabiyè,✔️,✔️,✔️
kbq,Kamano,✔️,✔️,✔️
kbr,Kafa,✔️,✔️,✔️
kbv,Dla,,,✔️
kbx,Ap Ma,,,✔️
kby,"Kanuri, Manga",✔️,✔️,✔️
kbz,Duhwa,,,✔️
kca,Khanty,✔️,✔️,✔️
kcc,Lubila,,,✔️
kcd,"Kanum, Ngkâlmpw",,,✔️
kce,Kaivi,,,✔️
kcf,Ukaan,,,✔️
kcg,Tyap,✔️,✔️,✔️
kch,Vono,,,✔️
kci,Kamantan,,,✔️
