iso_693_3,language_name,asr,tts,lid
akf,Akpa,,,✔️
akg,Anakalangu,,,✔️
akh,Angal Heneng,,,✔️
aki,Aiome,,,✔️
akl,Aklanon,,,✔️
akp,Siwu,✔️,✔️,✔️
akq,Ak,,,✔️
akr,Araki,,,✔️
aks,Akaselem,,,✔️
akt,Akolet,,,✔️
aku,Akum,,,✔️
akw,Akwa,,,✔️
ala,Alago,,,✔️
ald,Alladian,,,✔️
ale,Aleut,,,✔️
alf,Elege,,,✔️
alh,Alawa,,,✔️
alj,Alangan,✔️,✔️,✔️
alk,Alak,,,✔️
all,Allar,,,✔️
alp,Alune,✔️,✔️,✔️
alq,Algonquin,,,✔️
alt,"Altai, Southern",✔️,✔️,✔️
alu,’Are’are,,,✔️
alw,Alaba-K’abeena,,,✔️
alx,Amol,,,✔️
aly,Alyawarr,,,✔️
alz,Alur,✔️,✔️,✔️
amb,Ambo,,,✔️
amc,Amahuaca,,,✔️
ame,Yanesha’,✔️,✔️,✔️
amf,Hamer-Banna,✔️,✔️,✔️
amh,Amharic,✔️,✔️,✔️
ami,Amis,✔️,✔️,✔️
amk,Ambai,✔️,✔️,✔️
amm,Sawiyanu,,,✔️
amn,Amanab,,,✔️
amo,Amo,,,✔️
amr,Amarakaeri,,,✔️
amt,Amto,,,✔️
amu,"Amuzgo, Guerrero",,,✔️
anc,Ngas,,,✔️
anf,Animere,,,✔️
anj,Anor,,,✔️
ank,Goemai,,,✔️
anl,"Chin, Anu-Khongso",,,✔️
anm,Anal,,,✔️
ann,Obolo,✔️,✔️,✔️
ano,Andoque,,,✔️
anp,Angika,,,✔️
anr,Andh,,,✔️
anu,Anuak,,,✔️
anv,Denya,,,✔️
anw,Anaang,,,✔️
anx,Andra-Hus,,,✔️
any,Anyin,✔️,✔️,✔️
aoe,Angal Enen,,,✔️
aof,Bragat,,,✔️
aog,Angoram,,,✔️
aoi,Anindilyakwa,,,✔️
aoj,Mufian,,,✔️
aol,Alor,,,✔️
aom,Ömie,,,✔️
aon,Weri,,,✔️
aot,Atong,,,✔️
aoz,Uab Meto,✔️,✔️,✔️
apb,Sa’a,✔️,✔️,✔️
ape,Bukiyip,,,✔️
apf,"Agta, Pahanan",,,✔️
apj,"Apache, Jicarilla",,,✔️
apm,"Apache, Mescalero-Chiricahua",,,✔️
apn,Apinayé,,,✔️
apr,Arop-Lokep,✔️,✔️,✔️
aps,Orop,,,✔️
apt,Apatani,,,✔️
apu,Apurinã,,,✔️
apw,"Apache, Western",,,✔️
apy,Apalaí,,,✔️
apz,Safeyoka,,,✔️
aqg,Arigidi,,,✔️
aqm,Atohwaim,,,✔️
aqt,Angaité,,,✔️
ara,Arabic,✔️,✔️,✔️
are,"Arrarnta, Western",,,✔️
arg,Aragonese,,,✔️
arh,Arhuaco,,,✔️
arl,Arabela,✔️,✔️,✔️
arn,Mapudungun,,,✔️
aro,Araona,,,✔️
arp,Arapaho,,,✔️
arr,Karo,,,✔️
arv,Arbore,,,✔️
arw,Arawak,,,✔️
arx,Aruá,,,✔️
asa,Asu,✔️,✔️,✔️
asb,Assiniboine,,,✔️
asc,"Asmat, Casuarina Coast",,,✔️
asg,Cishingini,✔️,✔️,✔️
asi,Buruwai,,,✔️
asm,Assamese,✔️,✔️,✔️
aso,Dano,,,✔️
asr,Asuri,,,✔️
ass,Ipulo,,,✔️
ast,Asturian,✔️,,✔️
asu,"Asurini, Tocantins",,,✔️
asy,"Asmat, Yaosakor",,,✔️
ata,Pele-Ata,✔️,✔️,✔️
atb,Zaiwa,✔️,✔️,✔️
atd,"Manobo, Ata",,,✔️
atg,Ivbie North-Okpela-Arhe,✔️,✔️,✔️
ati,Attié,✔️,✔️,✔️
atk,Ati,,,✔️
ato,Atong,,,✔️
atp,"Atta, Pudtol",,,✔️
atq,Aralle-Tabulahan,✔️,✔️,✔️
att,"Atta, Pamplona",,,✔️
atu,Reel,,,✔️
aty,Aneityum,,,✔️
auc,Waorani,,,✔️
aug,Aguna,,,✔️
aui,Anuki,,,✔️
auk,Heiyoho,,,✔️
aul,Aulua,,,✔️
aun,"One, Molmo",,,✔️
aup,Makayam,,,✔️
auq,Anus,,,✔️
auu,Auye,,,✔️
auy,Awiyaana,,,✔️
ava,Avar,✔️,✔️,✔️
avd,Alviri-Vidari,,,✔️
avi,Avikam,,,✔️
avn,Avatime,✔️,✔️,✔️
avt,Au,,,✔️
avu,Avokaya,✔️,✔️,✔️
awa,Awadhi,✔️,✔️,✔️
awb,Awa,✔️,✔️,✔️
awe,Awetí,,,✔️
awi,Aekyom,,,✔️
awn,Awngi,,,✔️
awu,"Awyu, Central",,,✔️
aww,Awun,,,✔️
axk,Yaka,,,✔️
ayb,"Gbe, Ayizo",,,✔️
ayg,Ginyanga,,,✔️
ayo,Ayoreo,✔️,✔️,✔️
ayr,"Aymara, Central",✔️,✔️,✔️
ayt,"Ayta, Magbukun",,,✔️
ayu,Ayu,,,✔️
ayz,Mai Brat,✔️,✔️,✔️
azb,"Azerbaijani, South",✔️,✔️,(See 'aze')
azd,"Nahuatl, Eastern Durango",,,✔️
aze,Azerbaijani,"(See 'azj', azb')","(See 'azj', azb')",✔️
azg,"Amuzgo, San Pedro Amuzgos",✔️,✔️,✔️
azj,"Azerbaijani, North","✔️ (script: cyrillic, script: latin)","✔️ (script: cyrillic, script: latin)",(See 'aze')
azo,Awing,,,✔️
azt,"Atta, Faire",,,✔️
azz,"Nahuatl, Highland Puebla",✔️,✔️,✔️
baa,Babatana,,,✔️
bab,Bainouk-Gunyuño,,,✔️
bac,Badui,,,✔️
bag,Tuki,,,✔️
bak,Bashkort,✔️,✔️,✔️
bam,Bamanankan,✔️,✔️,✔️
ban,Bali,✔️,✔️,✔️
bao,Waimaha,✔️,✔️,✔️
bap,Bantawa,,,✔️
bar,Bavarian,,,✔️
bas,Basaa,✔️,,✔️
bau,Mbat,,,✔️
bav,Vengo,✔️,✔️,✔️
baw,Bambili-Bambui,,,✔️
bax,Bamun,,,✔️
bba,Baatonum,✔️,✔️,✔️
bbb,Barai,✔️,✔️,✔️
